Alpha;Beta;Iterations
0.01;0.0;1000
0.01;0.01;1000
0.02;0.0;1000
0.02;0.01;1000
0.02;0.02;1000
0.03;0.0;1000
0.03;0.01;1000
0.03;0.02;1000
0.03;0.03;1000
0.04;0.0;1000
0.04;0.01;1000
0.04;0.02;1000
0.04;0.03;1000
0.04;0.04;1000
0.05;0.0;1000
0.05;0.01;1000
0.05;0.02;1000
0.05;0.03;1000
0.05;0.04;1000
0.05;0.05;1000
0.06;0.0;1000
0.06;0.01;1000
0.06;0.02;1000
0.06;0.03;1000
0.06;0.04;1000
0.06;0.05;1000
0.06;0.06;1000
0.07;0.0;1000
0.07;0.01;1000
0.07;0.02;1000
0.07;0.03;1000
0.07;0.04;1000
0.07;0.05;1000
0.07;0.06;1000
0.08;0.0;1000
0.08;0.01;1000
0.08;0.02;1000
0.08;0.03;1000
0.08;0.04;1000
0.08;0.05;1000
0.08;0.06;1000
0.08;0.07;1000
0.08;0.08;1000
0.09;0.0;1000
0.09;0.01;1000
0.09;0.02;1000
0.09;0.03;1000
0.09;0.04;1000
0.09;0.05;1000
0.09;0.06;1000
0.09;0.07;1000
0.09;0.08;1000
0.09;0.09;1000
0.1;0.0;1000
0.1;0.01;1000
0.1;0.02;1000
0.1;0.03;1000
0.1;0.04;1000
0.1;0.05;1000
0.1;0.06;1000
0.1;0.07;1000
0.1;0.08;1000
0.1;0.09;1000
0.11;0.0;1000
0.11;0.01;1000
0.11;0.02;1000
0.11;0.03;1000
0.11;0.04;1000
0.11;0.05;1000
0.11;0.06;1000
0.11;0.07;1000
0.11;0.08;1000
0.11;0.09;1000
0.11;0.1;1000
0.11;0.11;1000
0.12;0.0;1000
0.12;0.01;1000
0.12;0.02;1000
0.12;0.03;1000
0.12;0.04;1000
0.12;0.05;1000
0.12;0.06;1000
0.12;0.07;1000
0.12;0.08;1000
0.12;0.09;1000
0.12;0.1;1000
0.12;0.11;1000
0.12;0.12;1000
0.13;0.0;1000
0.13;0.01;1000
0.13;0.02;1000
0.13;0.03;1000
0.13;0.04;1000
0.13;0.05;1000
0.13;0.06;1000
0.13;0.07;1000
0.13;0.08;1000
0.13;0.09;1000
0.13;0.1;1000
0.13;0.11;1000
0.13;0.12;1000
0.13;0.13;1000
0.14;0.0;1000
0.14;0.01;1000
0.14;0.02;1000
0.14;0.03;1000
0.14;0.04;1000
0.14;0.05;1000
0.14;0.06;1000
0.14;0.07;1000
0.14;0.08;1000
0.14;0.09;1000
0.14;0.1;1000
0.14;0.11;1000
0.14;0.12;1000
0.14;0.13;1000
0.14;0.14;1000
0.15;0.0;1000
0.15;0.01;1000
0.15;0.02;1000
0.15;0.03;1000
0.15;0.04;1000
0.15;0.05;1000
0.15;0.06;1000
0.15;0.07;1000
0.15;0.08;1000
0.15;0.09;1000
0.15;0.1;1000
0.15;0.11;1000
0.15;0.12;1000
0.15;0.13;1000
0.15;0.14;1000
0.15;0.15;1000
0.16;0.0;1000
0.16;0.01;1000
0.16;0.02;1000
0.16;0.03;1000
0.16;0.04;1000
0.16;0.05;1000
0.16;0.06;1000
0.16;0.07;1000
0.16;0.08;1000
0.16;0.09;1000
0.16;0.1;1000
0.16;0.11;1000
0.16;0.12;1000
0.16;0.13;1000
0.16;0.14;1000
0.16;0.15;1000
0.16;0.16;1000
0.17;0.0;1000
0.17;0.01;1000
0.17;0.02;1000
0.17;0.03;1000
0.17;0.04;1000
0.17;0.05;1000
0.17;0.06;1000
0.17;0.07;1000
0.17;0.08;1000
0.17;0.09;1000
0.17;0.1;1000
0.17;0.11;1000
0.17;0.12;1000
0.17;0.13;1000
0.17;0.14;1000
0.17;0.15;1000
0.17;0.16;1000
0.17;0.17;1000
0.18;0.0;1000
0.18;0.01;1000
0.18;0.02;1000
0.18;0.03;1000
0.18;0.04;1000
0.18;0.05;1000
0.18;0.06;1000
0.18;0.07;1000
0.18;0.08;1000
0.18;0.09;1000
0.18;0.1;1000
0.18;0.11;1000
0.18;0.12;1000
0.18;0.13;1000
0.18;0.14;1000
0.18;0.15;1000
0.18;0.16;1000
0.18;0.17;1000
0.18;0.18;1000
0.19;0.0;1000
0.19;0.01;1000
0.19;0.02;1000
0.19;0.03;1000
0.19;0.04;1000
0.19;0.05;1000
0.19;0.06;1000
0.19;0.07;1000
0.19;0.08;1000
0.19;0.09;1000
0.19;0.1;1000
0.19;0.11;1000
0.19;0.12;1000
0.19;0.13;1000
0.19;0.14;1000
0.19;0.15;1000
0.19;0.16;1000
0.19;0.17;1000
0.19;0.18;1000
0.19;0.19;1000
0.2;0.0;1000
0.2;0.01;1000
0.2;0.02;1000
0.2;0.03;1000
0.2;0.04;1000
0.2;0.05;1000
0.2;0.06;1000
0.2;0.07;1000
0.2;0.08;1000
0.2;0.09;1000
0.2;0.1;1000
0.2;0.11;1000
0.2;0.12;1000
0.2;0.13;1000
0.2;0.14;1000
0.2;0.15;1000
0.2;0.16;1000
0.2;0.17;1000
0.2;0.18;1000
0.2;0.19;1000
0.2;0.2;1000
0.21;0.0;1000
0.21;0.01;1000
0.21;0.02;1000
0.21;0.03;1000
0.21;0.04;1000
0.21;0.05;1000
0.21;0.06;1000
0.21;0.07;1000
0.21;0.08;1000
0.21;0.09;1000
0.21;0.1;1000
0.21;0.11;1000
0.21;0.12;1000
0.21;0.13;1000
0.21;0.14;1000
0.21;0.15;1000
0.21;0.16;1000
0.21;0.17;1000
0.21;0.18;1000
0.21;0.19;1000
0.21;0.2;1000
0.21;0.21;1000
0.22;0.0;1000
0.22;0.01;1000
0.22;0.02;1000
0.22;0.03;1000
0.22;0.04;1000
0.22;0.05;1000
0.22;0.06;1000
0.22;0.07;1000
0.22;0.08;1000
0.22;0.09;1000
0.22;0.1;1000
0.22;0.11;1000
0.22;0.12;1000
0.22;0.13;1000
0.22;0.14;1000
0.22;0.15;1000
0.22;0.16;1000
0.22;0.17;1000
0.22;0.18;1000
